ville,prix_moyen,prix_median,prix_min,prix_max
Paris,285.26338417063545,285.26338417063545,8,30814
Bordeaux,125.32582384661474,125.32582384661474,12,10000
Lyon,106.44659132336858,106.44659132336858,15,8000
